module_name,current_version,newest_version,links,notes,tag
Mediachase.DataProvider.dll,,,,,0
Mediachase.Commerce.dll,,,,,0
Mediachase.Search.Extensions.dll,,,,,0
Mediachase.Commerce.Website.dll,,,,,0
Mediachase.Commerce.Plugins.Payment.dll,,,,,0
Mediachase.SqlDataProvider.dll,,,,,0
Mediachase.Search.LuceneSearchProvider.dll,,,,,0
Luminos.Search.Episerver.Cms.dll,,,,,0
Adyen.dll,,,https://api.nuget.org/v3-flatcontainer/adyen/index.json,,1
FluentMigrator.dll,,,https://api.nuget.org/v3-flatcontainer/fluentmigrator/index.json,,1
FluentMigrator.Runner.Oracle.dll,,,,,0
FluentMigrator.Abstractions.resources.dll,,,,,0
Microsoft.Dynamics.Retail.Diagnostics.dll,,,,,0
Luminos.Search.Episerver.dll,,,,,0
Microsoft.Spatial.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.spatial/index.json,,1
Avensia.Storefront.Connector.Common.dll,,,https://nuget.optimizely.com/package/?id=Avensia.Storefront.Connector.Common,,1
FluentMigrator.Runner.Db2.dll,,,https://api.nuget.org/v3-flatcontainer/fluentmigrator.runner.db2/index.json,,1
Riskified.SDK.dll,,,https://api.nuget.org/v3-flatcontainer/riskified.sdk/index.json,,1
MediatR.Contracts.dll,,,https://api.nuget.org/v3-flatcontainer/mediatr.contracts/index.json,,1
Microsoft.OData.Client.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.odata.client/index.json,,1
RazorEngine.NetCore.dll,,,https://api.nuget.org/v3-flatcontainer/razorengine.netcore/index.json,,1
FluentMigrator.Extensions.SqlServer.dll,,,https://api.nuget.org/v3-flatcontainer/fluentmigrator.extensions.sqlserver/index.json,,1
Luminos.ExtensionLibrary.dll,,,,,1
AutoMapper.Extensions.Microsoft.DependencyInjection.dll,,,https://api.nuget.org/v3-flatcontainer/automapper/index.json,,1
Microsoft.Extensions.Diagnostics.HealthChecks.Abstractions.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.diagnostics.healthchecks.abstractions/index.json,,2
Rhino.Licensing.dll,,,,,0
StackExchange.Redis.dll,,,https://api.nuget.org/v3-flatcontainer/stackexchange.redis/index.json,,1
IdentityModel.dll,,,https://api.nuget.org/v3-flatcontainer/identitymodel/index.json,,1
Dapper.dll,,,https://api.nuget.org/v3-flatcontainer/dapper/index.json,,1
Microsoft.Extensions.Logging.Abstractions.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.logging.abstractions/index.json,,1
System.Security.Cryptography.Pkcs.dll,,,https://api.nuget.org/v3-flatcontainer/system.security.cryptography.pkcs/index.json,,1
Luminos.Search.Core.dll,,,,,1
Luminos.Search.Episerver.Commerce.dll,,,,,1
Microsoft.Dynamics.Commerce.Runtime.Framework.dll,,,,,0
FluentMigrator.Runner.Postgres.dll,,,https://api.nuget.org/v3-flatcontainer/fluentmigrator.runner.postgres/index.json,,1
Avensia.Storefront.Connector.Opti.dll,,,Avensia.Storefront.Connector.Opti 12.1.0 (optimizely.com),,1
FluentFTP.dll,,,https://api.nuget.org/v3-flatcontainer/fluentftp/index.json,,1
FluentMigrator.Runner.MySql.dll,,,,,0
FluentMigrator.Runner.SqlServer.dll,,,https://api.nuget.org/v3-flatcontainer/fluentmigrator.runner.sqlserver/index.json,,1
Microsoft.IdentityModel.Clients.ActiveDirectory.Platform.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.identity.client/index.json,,1
Avensia.Storefront.Connector.D365ScaleUnit.dll,,,https://nuget.optimizely.com/package/?id=Avensia.Storefront.Connector.D365ScaleUnit,,1
FluentMigrator.Runner.dll,,,,,0
Jenson.Web.dll,,,,,0
Microsoft.Extensions.DependencyInjection.dll,,,https://api.nuget.org/v3-flatcontainer/microsoft.extensions.dependencyinjection/index.json,,1
